ETAPA,FORNECEDOR,CNPJ,DATA DE EMISSÃO,DATA DE RECEBIMENTO,DATA DE VENCIMENTO,Nº DO DOCUMENTO,VALOR,MARCA,CENTRO DE CUSTO,FILIAL,TIPO DE DOCUMENTO,TIPO DE SERVIÇO,CÓDIGO DO SERVIÇO,HEFLO,DATA ABERTURA HEFLO,PC,DATA APROVAÇÃO,V360,DATA EDIÇÃO V360,RESPONSÁVEL,DATA DE PAGAMENTO REAL,STATUS,DIAS RESTANTES (ENVIO P/ TIME PAG.),ALERTA (ENVIO P/ TIME PAG.),DATA DE PAGAMENTO IDEAL,STATUS DO PAGAMENTO,OBSERVAÇÕES,FORMA DE PAGAMENTO,ENCARGO FINANCEIRO,VALOR DO ENCARGO
PAGO,FUSION,20327872000176,05/03/2026,05/03/2026,30/03/2026,2668,"R$ 1.268,71",IS,3073,100111,NFS,ROTEIRIZADOR,SV23374CRQ6,139716,09/03/2026,SELTT7,12/03/2026,366355,12/03/2026,PEDRO GUILHERME,30/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,F J M BARROS,38529778000165,10/02/2026,10/02/2026,03/03/2026,864,"R$ 31.200,00",SAS,3062,010105,NFS,SERVIÇO DE MÃO DE OBRA TERCEIRA,SVC063SV0188,91220,13/05/2025,S40915,22/05/2025,363097,13/02/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,TECLABEL SOLUCOES INDUSTRIAIS LTDA,7114368000120,05/02/2026,10/02/2026,07/03/2026,100336,"R$ 5.992,50",SAS,3073,100111,NFP,ETIQUETAS ADESIVAS,,134928,09/02/2026,SELTQV,13/02/2026,361364,13/02/2026,FRANCISCO EDSON,13/03/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,ZAP EVENTOS E LOCACOES LTDA ME,10562719000170,11/02/2026,11/02/2026,27/02/2026,4261,"R$ 3.100,00",SAS,3062,010101,NFS,LOCAÇÃO DE CLIMATIZADORES,,135354,10/02/2026,S69203,19/02/2026,363572,19/02/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,EMBPLAST EMBALAGENS DE PLASTICOS LTDA,10562719000170,10/02/2026,11/02/2026,09/03/2026,12956,"R$ 5.107,20",SAS,3062,010105,NFP,MATERIAL PLÁSTICO OPERACIONAL EM GERAL ,,136177,13/02/2026,S41449,19/02/2026,362194,20/02/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,MAVIFLEX COMERCIO DE MOVEIS PARA ESCRITORIO LTDA,9524749000102,29/01/2026,29/01/2026,06/03/2026,2114,"R$ 458,00",SAS,3062,010105,NFP,MANUTEÇÃO E RAPARO DE CADEIRAS,,138397,02/03/2026,S41477,03/03/2026,365675,03/03/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,MAVIFLEX COMERCIO DE MOVEIS PARA ESCRITORIO LTDA,9524749000102,26/01/2026,26/01/2026,03/03/2026,1762,"R$ 3.405,00",SAS,3062,010105,NFP,MANUTEÇÃO E RAPARO DE CADEIRAS,,138036,26/02/2026,S41470,03/03/2026,359956,03/03/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,"DTM DISTRIBUIDORA DE FITAS, ABRASIVOS E ACESSORIOS LTDA",23591977000126,25/02/2026,26/01/2026,27/03/2026,21306,"R$ 11.880,00",SAS,3062,010105,NFP,FITAS ADESIVAS ,,138156,27/02/2026,S41468,02/03/2026,364289,05/03/2026,FRANCISCO EDSON,27/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,STAR PRINT IND. E COM. DE ETIQ.LTDA-EPP,15091373000192,03/03/2026,04/03/2026,31/03/2026,8532,"R$ 2.415,41",SAS,3062,010105,NFP,ETIQUETAS ADESIVAS EM GERAL,,141779,20/03/2026,S41528,24/03/2026,365804,06/03/2026,FRANCISCO EDSON,10/04/2026,PAGO,,,,PAGO EM ATRASO,"Pedido criado com valores abaixo do serviço realizado, pedido teve que ser refeito",TED,NÃO,
PAGO,EMBPLAST EMBALAGENS DE PLASTICOS LTDA,1275423000187,20/02/2026,20/02/2026,20/03/2026,12977,"R$ 4.625,60",SAS,3062,010105,NFP,MATERIAL PLÁSTICO OPERACIONAL EM GERAL ,,136319,13/02/2026,S69226,23/02/2026,363694,20/02/2026,FRANCISCO EDSON,20/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,SANTANA GALVAO SERVICES LTDA,62047322000143,25/02/2026,26/02/2026,20/03/2026,87,"R$ 3.995,04",SAS,3074,100113,NFS,SERVIÇO DE MÃO DE OBRA TERCEIRA,SVC063SV0188,132314,23/01/2026,SELOP8,27/01/2026,364377,04/03/2026,FRANCISCO EDSON,20/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,SANTANA GALVAO SERVICES LTDA,62047322000143,06/03/2026,06/03/2026,03/04/2026,92,"R$ 665,84",SAS,3074,100113,NFS,SERVIÇO DE MÃO DE OBRA TERCEIRA,SVC063SV0188,132314,23/01/2026,SELOP8,27/01/2026,366450,11/03/2026,FRANCISCO EDSON,02/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,TM G SERVICES LTDA,22163462000162,06/03/2026,06/03/2026,21/03/2026,219,"R$ 17.400,00",SAS,3062,010101,NFS,SERVIÇO DE ALUGUEL DE GERADOR DE ENERGIA ,SVC002SV0003,105740,11/08/2025,S41058,14/08/2025,366452,11/03/2026,FRANCISCO EDSON,27/03/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,Top Clean Nordeste LTDA - ME,21988620000150,03/03/2026,05/03/2026,02/04/2026,114300,"R$ 1.650,70",SAS,3062,010105,NFP,MATERIAIS DE HIGIENE ,,,,S41063,21/08/2025,365641,11/03/2026,FRANCISCO EDSON,27/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,WILLAME VENANCIO DA SILVA 02249026360,32036620000177,09/03/2026,10/03/2026,27/03/2026,34,"R$ 1.850,00",SAS,3062,010105,NFS,CONFECÇÃO DE PUFFS E COLCHONETES,,126344,08/12/2025,S41306,12/12/2025,368201,16/03/2026,FRANCISCO EDSON,27/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,ALLIANZ,61573796000166,13/03/2026,17/03/2026,15/04/2026,2,"R$ 1.073,80",IS,3073,100111,PF,SEGURO DE CARGA,21136,141343,18/03/2026,232092026,23/03/2026,N/A,N/A,PEDRO GUILHERME,10/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,PANIFICADORA MM,1755085000180,19/03/2026,19/03/2026,10/04/2026,15,"R$ 143,49",IS,3074,100113,NFP,LANCHE HORA EXTRA CD,33SV0001,142142,23/03/2026,SELOQF,02/04/2026,361428,06/04/2026,PEDRO GUILHERME,,PAGO,,,,PAGO NO PRAZO,"Foi aberto um chamado no V360 para que fosse possível alterar os campos do PC, pelo Protheus. O chamado não foi atendido em tempo hábil, mesmo solicitando suporte aos times responsáveis por meio do Slack. Com isso, foi necessário que um colega nos ajudasse nessa tarefa, mas causou no atraso no pagamento",BOLETO,,
PAGO,REIS COMERCIO ATACADISTA DE BATERIAS E A,8827664000130,03/03/2026,04/03/2026,03/04/2026,24243,"R$ 389,90",SAS,3073,100111,NFP,BATERIAS ESTACIONÁRIAS,,141015,16/03/2026,SELTTC,23/03/2026,365632,26/03/2026,FRANCISCO EDSON,14/04/2026,PAGO,,,,PAGO EM ATRASO,"Pedido de compras criado no CC incorreto, aguardando correção ",TED,NÃO,
